arm,unit,design,base,seed_index,n_mutations,stored_ipsae_min,ipsae_full,ipsae_no_mut,ipsae_interface
negsteer,design_43_seq_0,design_02_s0,design_02,0.0,6,0.0348,0.0348,0.0348,0.0039
negsteer,design_43_seq_0,design_01_s2,design_01,2.0,6,0.3293,0.3293,0.3293,0.0156
negsteer,design_43_seq_0,design_01_s0,design_01,0.0,6,0.2173,0.2173,0.2173,0.0103
negsteer,design_43_seq_0,design_01_s1,design_01,1.0,6,0.171,0.171,0.1686,0.0081
negsteer,design_43_seq_0,design_02_s1,design_02,1.0,6,0.0029,0.0029,0.0029,0.0029
negsteer,design_43_seq_0,design_02_s2,design_02,2.0,6,0.266,0.266,0.266,0.0168
negsteer,design_43_seq_1,initial,initial,,0,0.2385,0.2385,0.2385,0.0106
negsteer,design_43_seq_1,design_01_s0,design_01,0.0,3,0.1254,0.1254,0.1254,0.0055
negsteer,design_43_seq_1,design_01_s1,design_01,1.0,3,0.1746,0.1746,0.1746,0.01
negsteer,design_43_seq_1,design_00_s1,design_00,1.0,3,0.2289,0.2289,0.2289,0.0093
negsteer,design_43_seq_1,design_02_s1,design_02,1.0,3,0.0518,0.0518,0.0518,0.004
negsteer,design_43_seq_1,design_00_s2,design_00,2.0,3,0.1366,0.1366,0.1366,0.0057
negsteer,design_43_seq_1,design_00_s0,design_00,0.0,3,0.1285,0.1285,0.1285,0.0051
negsteer,design_43_seq_1,design_02_s2,design_02,2.0,3,0.0779,0.0779,0.0779,0.0056
negsteer,design_43_seq_1,design_01_s2,design_01,2.0,3,0.1319,0.1319,0.1319,0.0067
negsteer,design_43_seq_1,design_02_s0,design_02,0.0,3,0.3423,0.3423,0.3423,0.014
negsteer,design_45_seq_1,initial,initial,,0,0.3606,0.3606,0.3606,0.0179
negsteer,design_45_seq_1,design_01_s1,design_01,1.0,3,0.0,0.0,0.0,0.0
negsteer,design_45_seq_1,design_01_s0,design_01,0.0,3,0.3681,0.3681,0.3586,0.0163
negsteer,design_45_seq_1,design_00_s0,design_00,0.0,3,0.0,0.0,0.0,0.0
negsteer,design_45_seq_1,design_01_s2,design_01,2.0,3,0.0,0.0,0.0,0.0
negsteer,design_45_seq_1,design_00_s2,design_00,2.0,3,0.0,0.0,0.0,0.0
negsteer,design_45_seq_1,design_00_s1,design_00,1.0,3,0.0,0.0,0.0,0.0
negsteer,design_45_seq_1,design_02_s1,design_02,1.0,3,0.2639,0.2639,0.2639,0.0117
negsteer,design_45_seq_1,design_02_s2,design_02,2.0,3,0.2017,0.2017,0.2017,0.0077
negsteer,design_45_seq_1,design_02_s0,design_02,0.0,3,0.1918,0.1918,0.1918,0.0077
negsteer,design_47_seq_0,initial,initial,0.0,0,0.7569,0.7569,0.7569,0.1188
negsteer,design_47_seq_0,initial_s1,initial,1.0,0,0.774,0.774,0.774,0.116
negsteer,design_47_seq_0,initial_s2,initial,2.0,0,0.804,0.804,0.804,0.1572
negsteer,design_47_seq_1,initial,initial,0.0,0,0.1436,0.1436,0.1436,0.0061
negsteer,design_47_seq_1,initial_s1,initial,1.0,0,0.0871,0.0871,0.0871,0.0043
